,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,9c55021d-05c8-4655-879b-35dfba4949ba,Joe Miller,https://play-lh.googleusercontent.com/a/AItbvmlbtSxkUEu1GJp8pIzkVAZXXA6Q2qTlQez--XWm=mo,Wouldn't let me see anything past 'download areas' even after I downloaded several states,1,0,,2022-09-03 04:18:47,,
1,a4b5544e-848d-4a16-8f03-ba549688056c,Thomas Steiner,https://play-lh.googleusercontent.com/a/AItbvmlZyPUbi0mRqwkXPF3Qd4j5J8NmWbDtlFV0zQ6k=mo,No filtering?? This app is useless without filtering. Well built otherwise.,2,0,22.10.0,2022-08-16 02:04:50,,
2,cac1f8af-0724-4b78-a529-26cbacf60948,Mike Jones,https://play-lh.googleusercontent.com/a-/AFdZuco0Q_ltHZlDa3ezkNX2-pMFTNe2PJ89hAzI6ii6NI0,Facebook sign in is broken.,1,0,22.10.0,2022-08-13 22:45:39,,
3,ca941bc6-c471-4169-a508-d7fc53fbcd04,David W.,https://play-lh.googleusercontent.com/a-/AFdZucqI2y8H6FaGvDPpxoe28UIJ7B0Wqq01-e2sWtRRgQ,Free and good so far...,5,0,22.10.0,2022-08-05 23:03:43,,
4,f059a575-c8df-4383-bf9c-fb45fc531566,Joseph States,https://play-lh.googleusercontent.com/a-/AFdZucpJgfbRmfChi79vnP1bV5PI_V5FJMVVQ_Ysw0Vv,Need timely updates! The new trails show up on the website but not here for at least 2 weeks. Still far better than Allsnails.,5,0,22.10.0,2022-08-04 02:55:30,,
5,4157e89f-5c57-49dc-b4a1-7d8959bfe83c,Travis Bieber,https://play-lh.googleusercontent.com/a-/AFdZucoA9WWdU0iMM5mqwteN5Q2VxkPozYVWgwEdhNPIIlI,Best app for hiking,5,0,22.10.0,2022-07-27 01:31:49,,
6,a7ad12e6-5da5-48de-bbbb-c8f02e0f09f1,Terkel S,https://play-lh.googleusercontent.com/a/AItbvmlBFK26eDbqdWc_6-dDvf8gmpbeTQAQ84KDDnkR8cg=mo,"Whats with the notifications? App is recording a hike... Uhm, thanks, I guess... you're aware I'm an active participant right?",3,0,21.14.0,2022-07-22 18:16:28,,
7,f5cf7bd7-a06d-4672-a6a5-b87a9a2932fc,zul'goth kremvh,https://play-lh.googleusercontent.com/a-/AFdZucrb6O3D7MopTEXHdKg0DYDYrx0AV2_g0rQwDSCRYQ,It is nice wish it also gave cordanits that could be copied so if assistance is needed you could eather send cordanits or check what they are.You never now if something will happen thet leaves you trapped.,4,0,22.10.0,2022-07-10 09:06:02,,
8,0e8e2a70-cead-4d77-a78f-7c399446f8dd,Rob the Quiet,https://play-lh.googleusercontent.com/a-/AFdZucoSwHPKyRP4Ioll_T1EFZ2vhbDyPe4xu4Oyi1Hcng,Has a problem with popups that don't go away. After being coerced into downloading a state map it still won't let me get to the actual map. Deleted/Uninstalled,1,0,,2022-06-26 03:46:45,,
9,7a8088bd-4a3f-4a80-9868-08a0f7bbc287,Susan and Randy,https://play-lh.googleusercontent.com/a/AItbvml6m_tBozvcwIOE2eYnxK6D3AjKalck0QSAqh3Z=mo,"refuses to move data or app onto the sdcard. this renders the app unusable. 3 years later, this is still true. I now have to delete the app because I need another app that has higher priority. Just putting map data on the SD card should be simple and would go a long ways in making this a good app.",1,2,22.10.0,2022-06-12 00:57:41,,
10,87bf427a-3447-4c69-a2e4-963b559941f5,Scott Bishop,https://play-lh.googleusercontent.com/a-/AFdZucrylg_gCGN-g1kyrjmrYfwKfBt-dKTkKO0l4GAglg4,"There's no way to filter trails by length, elevation gain, challenge level, etc., making this app beyond useless.",1,0,22.10.0,2022-06-11 01:29:54,,
11,3406a592-efa3-49e5-a1d5-85674e47b452,Balakrishna S,https://play-lh.googleusercontent.com/a/AItbvmkB_7O6j7wtM-HKH_K6yWxB-qdrCv9NZ8M47RMiEQ=mo,"Loved in Michigan, Love it in Massachusettes. Such a great app.",5,0,22.10.0,2022-06-10 20:59:32,,
12,3d6782e1-913c-459a-8825-4b71b18c865e,Charles W Phone,https://play-lh.googleusercontent.com/a/AItbvmnN3zQcWZBTJE_eYd5djp7VvyRBUjSsorbnvNma=mo,"Can not export or save track in free version,",1,0,22.10.0,2022-06-06 13:35:53,,
13,8e1d37e5-1f28-4cf0-bacf-3f43127e00c0,Tom Hirashima,https://play-lh.googleusercontent.com/a-/AFdZucoNBoga_fhHIQCjSSULcrZOBp85nW0z0ucS5mK-yQ,"Great app. Lots of good information about the trails, and I like the fact that you don't need cell signal to use it on the trail. I do wish you could upload photos and add comments to trails from the app, though.",4,2,22.10.0,2022-06-05 21:54:19,,
14,22667ab2-2bea-4c5e-985e-e4e60dc4c563,Huay Wang,https://play-lh.googleusercontent.com/a/AItbvmn61T2JjJzYNJLhHhVf6rDaWKI45FsSXvPdS_XA=mo,"Great app. Way better than AllTrails and it's FREE!!! You will never get lost with the ""blue dot"". Highly recommended.",5,0,22.10.0,2022-05-25 22:49:37,,
15,79c9944b-e9a7-4fd3-9dd3-e82509a686ec,Jim A,https://play-lh.googleusercontent.com/a/AItbvmklYCjxVZfhXtx1hQ2761DScygz2ByLdaIxEp1D=mo,"Offline maps work, records where you've been, keeps a log of recorded hikes. Web app is easier to use, on phone or PC. Favorites list helps remember hikes to do again. No route planning using multiple trails. Needs some bug fixes, new features, but apparently no longer being actively maintained.",3,19,22.10.0,2022-05-23 08:20:14,,
16,8c03a158-8b1a-4ce9-8e81-83542ed5aadd,William Tallent,https://play-lh.googleusercontent.com/a-/AFdZucoreC312Qs3IrI1bkaYohSKWwYnmg4RTTdlIRt9PQ,Awesome thanks,5,0,,2022-05-19 23:10:17,,
